valve,flow,direction,step,touch,epoch,time
198,,f,0,0,5,00:02:56:03
198,31023,f,1,0,5,00:02:57:03
198,31040,f,2,0,5,00:02:57:03
198,31040,f,3,0,5,00:02:57:03
198,31023,f,4,0,5,00:02:57:03
198,31007,f,5,0,5,00:02:57:03
198,31007,f,6,0,5,00:02:58:03
198,31023,f,7,0,5,00:02:58:03
198,31007,f,8,0,5,00:02:58:03
198,31007,f,9,0,5,00:02:58:03
198,31023,f,10,1,5,00:02:58:03
198,31023,f,11,1,5,00:02:59:03
198,31040,f,12,1,5,00:02:59:03
198,31023,f,13,1,5,00:02:59:03
198,31040,f,14,1,5,00:02:59:03
198,31040,f,15,1,5,00:02:59:03
198,31057,f,16,1,5,00:03:00:03
198,31057,f,17,1,5,00:03:00:03
198,31057,f,18,1,5,00:03:00:03
198,31040,f,19,1,5,00:03:00:03
198, 31040, b, 20, 1, 5, 00:03:00:03
198, 31057, b, 21, 1, 5, 00:03:01:03
198, 31040, b, 22, 1, 5, 00:03:01:03
198, 31040, b, 23, 1, 5, 00:03:01:03
198, 31040, b, 24, 1, 5, 00:03:01:03
198, 31057, b, 25, 1, 5, 00:03:01:03
198, 31057, b, 26, 1, 5, 00:03:02:03
198, 31040, b, 27, 1, 5, 00:03:02:03
198, 31057, b, 28, 1, 5, 00:03:02:03
198, 31057, b, 29, 1, 5, 00:03:02:03
198, 31040, b, 30, 1, 5, 00:03:02:03
198, 31040, b, 31, 0, 5, 00:03:03:03
198, 31040, b, 32, 0, 5, 00:03:03:03
198, 31040, b, 33, 0, 5, 00:03:03:03
198, 31023, b, 34, 0, 5, 00:03:03:03
198, 31007, b, 35, 0, 5, 00:03:03:03
198, 31007, b, 36, 0, 5, 00:03:04:03
198, 31023, b, 37, 0, 5, 00:03:04:03
198, 31040, b, 38, 0, 5, 00:03:04:03
198, 31023, b, 39, 0, 5, 00:03:04:03
198,31057,f,0,0,4,00:03:04:03
198,31040,f,1,0,4,00:03:05:03
198,31057,f,2,0,4,00:03:05:03
198,31057,f,3,0,4,00:03:05:03
198,31057,f,4,0,4,00:03:05:03
198,31040,f,5,0,4,00:03:05:03
198,31040,f,6,0,4,00:03:06:03
198,31057,f,7,0,4,00:03:06:03
198,31057,f,8,0,4,00:03:06:03
198,31023,f,9,0,4,00:03:06:03
198,31057,f,10,1,4,00:03:06:03
198,31040,f,11,1,4,00:03:07:03
198,31040,f,12,1,4,00:03:07:03
198,31057,f,13,1,4,00:03:07:03
198,31040,f,14,1,4,00:03:07:03
198,31040,f,15,1,4,00:03:07:03
198,31040,f,16,1,4,00:03:08:03
198,31023,f,17,1,4,00:03:08:03
198,31023,f,18,1,4,00:03:08:03
198,31023,f,19,1,4,00:03:08:03
198, 31023, b, 20, 1, 4, 00:03:08:03
198, 31023, b, 21, 1, 4, 00:03:09:03
198, 31023, b, 22, 1, 4, 00:03:09:03
198, 31007, b, 23, 1, 4, 00:03:09:03
198, 31040, b, 24, 1, 4, 00:03:09:03
198, 31040, b, 25, 1, 4, 00:03:09:03
198, 31057, b, 26, 1, 4, 00:03:10:03
198, 31040, b, 27, 1, 4, 00:03:10:03
198, 31057, b, 28, 1, 4, 00:03:10:03
198, 31057, b, 29, 1, 4, 00:03:10:03
198, 31040, b, 30, 1, 4, 00:03:10:03
198, 31040, b, 31, 0, 4, 00:03:11:03
198, 31057, b, 32, 0, 4, 00:03:11:03
198, 31040, b, 33, 0, 4, 00:03:11:03
198, 31057, b, 34, 0, 4, 00:03:11:03
198, 31023, b, 35, 0, 4, 00:03:11:03
198, 31040, b, 36, 0, 4, 00:03:12:03
198, 31040, b, 37, 0, 4, 00:03:12:03
198, 31040, b, 38, 0, 4, 00:03:12:03
198, 31040, b, 39, 0, 4, 00:03:12:03
198,31057,f,0,0,3,00:03:12:03
198,31040,f,1,0,3,00:03:13:03
198,31040,f,2,0,3,00:03:13:03
198,31040,f,3,0,3,00:03:13:03
198,31023,f,4,0,3,00:03:13:03
198,31023,f,5,0,3,00:03:13:03
198,31023,f,6,0,3,00:03:14:03
198,31023,f,7,0,3,00:03:14:03
198,31007,f,8,0,3,00:03:14:03
198,31007,f,9,0,3,00:03:14:03
198,31040,f,10,1,3,00:03:14:03
198,31040,f,11,1,3,00:03:15:03
198,31040,f,12,1,3,00:03:15:03
198,31057,f,13,1,3,00:03:15:03
198,31057,f,14,1,3,00:03:15:03
198,31057,f,15,1,3,00:03:15:03
198,31040,f,16,1,3,00:03:16:03
198,31040,f,17,1,3,00:03:16:03
198,31040,f,18,1,3,00:03:16:03
198,31040,f,19,1,3,00:03:16:03
198, 31057, b, 20, 1, 3, 00:03:16:03
198, 31040, b, 21, 1, 3, 00:03:17:03
198, 31057, b, 22, 1, 3, 00:03:17:03
198, 31040, b, 23, 1, 3, 00:03:17:03
198, 31057, b, 24, 1, 3, 00:03:17:03
198, 31057, b, 25, 1, 3, 00:03:17:03
198, 31057, b, 26, 1, 3, 00:03:18:03
198, 31040, b, 27, 1, 3, 00:03:18:03
