valve,flow,direction,step,touch
200,,f,0,0
200,31057,f,1,0
200,31074,f,2,0
200,31057,f,3,0
200,31074,f,4,0
200,31074,f,5,0
200,31074,f,6,0
200,31057,f,7,0
200,31057,f,8,0
200,31040,f,9,0
200,31057,f,10,0
200,31057,f,11,1
200,31040,f,12,1
200,31040,f,13,1
200,31057,f,14,1
200,31057,f,15,1
200,31057,f,16,1
200,31040,f,17,1
200,31057,f,18,1
200,31040,f,19,1
200, 31057, b, 20, 1
200, 31040, b, 19, 1
200, 31057, b, 18, 1
200, 31040, b, 17, 1
200, 31074, b, 16, 1
200, 31074, b, 15, 1
200, 31074, b, 14, 1
200, 31057, b, 13, 1
200, 31074, b, 12, 1
200, 31074, b, 11, 1
200, 31074, b, 10, 0
200, 31074, b, 9, 0
200, 31074, b, 8, 0
200, 31074, b, 7, 0
200, 31057, b, 6, 0
200, 31040, b, 5, 0
200, 31057, b, 4, 0
200, 31057, b, 3, 0
200, 31057, b, 2, 0
200, 31057, b, 1, 0
200,31057,f,0,0
200,31057,f,1,0
200,31074,f,2,0
200,31057,f,3,0
200,31074,f,4,0
200,31057,f,5,0
200,31074,f,6,0
200,31057,f,7,0
200,31040,f,8,0
200,31023,f,9,0
200,31040,f,10,0
200,31040,f,11,1
200,31023,f,12,1
200,31007,f,13,1
200,31040,f,14,1
200,31057,f,15,1
200,31057,f,16,1
200,31040,f,17,1
200,31040,f,18,1
200,31057,f,19,1
200, 31074, b, 20, 1
200, 31057, b, 19, 1
200, 31074, b, 18, 1
200, 31057, b, 17, 1
200, 31074, b, 16, 1
200, 31074, b, 15, 1
200, 31057, b, 14, 1
200, 31040, b, 13, 1
200, 31074, b, 12, 1
200, 31074, b, 11, 1
200, 31057, b, 10, 0
200, 31057, b, 9, 0
200, 31057, b, 8, 0
200, 31057, b, 7, 0
200, 31074, b, 6, 0
200, 31040, b, 5, 0
200, 31040, b, 4, 0
200, 31057, b, 3, 0
200, 31057, b, 2, 0
200, 31057, b, 1, 0
200,31057,f,0,0
200,31074,f,1,0
200,31074,f,2,0
200,31074,f,3,0
200,31057,f,4,0
200,31040,f,5,0
200,31057,f,6,0
200,31040,f,7,0
200,31040,f,8,0
200,31023,f,9,0
200,31057,f,10,0
200,31023,f,11,1
200,31040,f,12,1
200,31007,f,13,1
200,31040,f,14,1
200,31040,f,15,1
200,31040,f,16,1
200,31040,f,17,1
200,31057,f,18,1
200,31074,f,19,1
200, 31074, b, 20, 1
200, 31074, b, 19, 1
200, 31074, b, 18, 1
200, 31057, b, 17, 1
200, 31057, b, 16, 1
200, 31057, b, 15, 1
200, 31057, b, 14, 1
200, 31057, b, 13, 1
200, 31057, b, 12, 1
200, 31057, b, 11, 1
200, 31057, b, 10, 0
200, 31057, b, 9, 0
200, 31057, b, 8, 0
200, 31057, b, 7, 0
200, 31057, b, 6, 0
200, 31040, b, 5, 0
200, 31057, b, 4, 0
200, 31057, b, 3, 0
200, 31057, b, 2, 0
200, 31040, b, 1, 0
200,31057,f,0,0
200,31023,f,1,0
200,31023,f,2,0
200,31040,f,3,0
200,31040,f,4,0
200,31023,f,5,0
200,31023,f,6,0
200,31040,f,7,0
200,31040,f,8,0
200,31040,f,9,0
200,31040,f,10,0
200,31040,f,11,1
200,31057,f,12,1
200,31057,f,13,1
200,31057,f,14,1
200,31057,f,15,1
200,31074,f,16,1
200,31040,f,17,1
200,31057,f,18,1
200,31057,f,19,1
200, 31057, b, 20, 1
200, 31057, b, 19, 1
200, 31057, b, 18, 1
200, 31040, b, 17, 1
200, 31057, b, 16, 1
200, 31074, b, 15, 1
200, 31057, b, 14, 1
200, 31057, b, 13, 1
200, 31074, b, 12, 1
200, 31074, b, 11, 1
200, 31057, b, 10, 0
200, 31040, b, 9, 0
200, 31057, b, 8, 0
200, 31040, b, 7, 0
200, 31040, b, 6, 0
200, 31007, b, 5, 0
200, 31040, b, 4, 0
200, 31040, b, 3, 0
200, 31040, b, 2, 0
200, 31040, b, 1, 0
200,31040,f,0,0
200,31040,f,1,0
200,31074,f,2,0
200,31057,f,3,0
200,31057,f,4,0
200,31057,f,5,0
200,31074,f,6,0
200,31057,f,7,0
200,31057,f,8,0
200,31057,f,9,0
200,31057,f,10,0
200,31074,f,11,1
200,31057,f,12,1
200,31040,f,13,1
200,31057,f,14,1
200,31057,f,15,1
200,31040,f,16,1
200,31040,f,17,1
200,31057,f,18,1
200,31057,f,19,1
200, 31057, b, 20, 1
200, 31040, b, 19, 1
200, 31074, b, 18, 1
200, 31057, b, 17, 1
200, 31057, b, 16, 1
200, 31057, b, 15, 1
200, 31040, b, 14, 1
200, 31023, b, 13, 1
200, 31040, b, 12, 1
200, 31040, b, 11, 1
200, 31040, b, 10, 0
200, 31023, b, 9, 0
200, 31040, b, 8, 0
200, 31040, b, 7, 0
200, 31057, b, 6, 0
200, 31040, b, 5, 0
200, 31074, b, 4, 0
200, 31057, b, 3, 0
200, 31057, b, 2, 0
200, 31057, b, 1, 0
201,31057,f,0,0
201,31040,f,1,0
201,31040,f,2,0
201,31040,f,3,0
201,31040,f,4,0
201,31023,f,5,0
201,31040,f,6,0
201,31057,f,7,0
201,31057,f,8,0
201,31057,f,9,0
201,31074,f,10,0
201,31074,f,11,1
201,31074,f,12,1
201,31057,f,13,1
201,31074,f,14,1
201,31057,f,15,1
201,31040,f,16,1
201,31057,f,17,1
201,31057,f,18,1
201,31040,f,19,1
201, 31057, b, 20, 1
201, 31057, b, 19, 1
201, 31074, b, 18, 1
201, 31057, b, 17, 1
201, 31074, b, 16, 1
201, 31057, b, 15, 1
201, 31074, b, 14, 1
201, 31057, b, 13, 1
201, 31057, b, 12, 1
201, 31057, b, 11, 1
201, 31040, b, 10, 0
201, 31040, b, 9, 0
201, 31040, b, 8, 0
201, 31023, b, 7, 0
201, 31040, b, 6, 0
201, 31023, b, 5, 0
201, 31040, b, 4, 0
201, 31040, b, 3, 0
201, 31057, b, 2, 0
201, 31040, b, 1, 0
201,31074,f,0,0
201,31057,f,1,0
201,31074,f,2,0
201,31057,f,3,0
201,31057,f,4,0
201,31040,f,5,0
201,31057,f,6,0
201,31057,f,7,0
201,31040,f,8,0
201,31040,f,9,0
201,31040,f,10,0
201,31057,f,11,1
201,31057,f,12,1
201,31040,f,13,1
201,31074,f,14,1
201,31074,f,15,1
201,31057,f,16,1
201,31040,f,17,1
201,31040,f,18,1
201,31023,f,19,1
201, 31040, b, 20, 1
201, 31040, b, 19, 1
201, 31040, b, 18, 1
201, 31023, b, 17, 1
201, 31040, b, 16, 1
201, 31057, b, 15, 1
201, 31057, b, 14, 1
201, 31057, b, 13, 1
201, 31057, b, 12, 1
201, 31057, b, 11, 1
201, 31074, b, 10, 0
201, 31057, b, 9, 0
201, 31057, b, 8, 0
201, 31057, b, 7, 0
201, 31074, b, 6, 0
201, 31040, b, 5, 0
201, 31074, b, 4, 0
